,lon,lat
0,-75.58085365599999,6.151995515000067
1,-75.58062999999999,6.1519100000000435
2,-75.58090999999996,6.15280000000007
3,-75.58070999999995,6.153450000000021
4,-75.58086999999995,6.154360000000054
5,-75.58086999999995,6.154940000000067
6,-75.58083999999997,6.155740000000037
7,-75.58101999999997,6.156260000000032
8,-75.58067999999997,6.156580000000076
9,-75.58057999999994,6.157130000000052
10,-75.58079999999995,6.15772000000004
11,-75.58086999999995,6.158250000000066
12,-75.58037999999993,6.15841000000006
13,-75.58010999999993,6.158460000000048
14,-75.58021999999994,6.158870000000036
15,-75.57958999999994,6.158980000000042
16,-75.57960999999995,6.15912000000003
17,-75.57888999999994,6.159250000000043
18,-75.57894999999996,6.159580000000062
19,-75.57925999999998,6.160580000000039
20,-75.57980999999995,6.161070000000052
21,-75.58035999999998,6.1615900000000465
22,-75.58053999999998,6.1620300000000725
23,-75.58050999999995,6.162630000000036
24,-75.58065999999997,6.163160000000062
25,-75.58074999999997,6.163470000000075
26,-75.58082999999993,6.163920000000076
27,-75.58083999999997,6.164370000000076
28,-75.58078999999998,6.164940000000058
29,-75.58040999999997,6.1648400000000265
30,-75.58024999999998,6.165350000000046
31,-75.58025999999995,6.16560000000004
32,-75.58023999999995,6.165970000000073
33,-75.58030999999994,6.166030000000035
34,-75.58033999999998,6.166180000000054
35,-75.58040999999997,6.166560000000061
36,-75.58047999999997,6.166750000000036
37,-75.58057999999994,6.167250000000024
38,-75.58033999999998,6.168050000000051
39,-75.58030999999994,6.1681800000000635
40,-75.58021999999994,6.1685900000000515
41,-75.58040999999997,6.1691600000000335
42,-75.58057999999994,6.1696000000000595
43,-75.58052999999995,6.1702300000000605
44,-75.58020999999997,6.170770000000061
45,-75.58004999999997,6.171140000000037
46,-75.58001999999993,6.172040000000038
47,-75.58040999999997,6.174120000000073
48,-75.58044999999998,6.174530000000061
49,-75.58048999999994,6.17497000000003
50,-75.58046999999993,6.175640000000044
51,-75.58011999999997,6.176410000000033
52,-75.58013999999997,6.176750000000027
53,-75.58064999999993,6.177820000000054
54,-75.58095999999995,6.179380000000037
55,-75.58110999999997,6.180450000000064
56,-75.58118999999994,6.180740000000071
57,-75.58123999999998,6.18109000000004
58,-75.58100999999994,6.181500000000028
59,-75.58080999999999,6.181590000000028
60,-75.58053999999998,6.182000000000073
61,-75.58025999999995,6.182600000000036
62,-75.57999999999998,6.183120000000031
63,-75.57988999999998,6.18327000000005
64,-75.57965999999993,6.18354000000005
65,-75.57947999999999,6.1837300000000255
66,-75.57922999999994,6.183990000000051
67,-75.57912999999996,6.183900000000051
68,-75.57913999999994,6.183750000000032
69,-75.57872999999995,6.183480000000031
70,-75.57885999999996,6.183290000000056
71,-75.57947999999999,6.1837300000000255
72,-75.57967999999994,6.1839500000000385
73,-75.57987999999995,6.184270000000026
74,-75.57991999999996,6.1845200000000204
75,-75.57986999999997,6.184610000000021
76,-75.58020999999997,6.186320000000023
77,-75.58039999999994,6.186830000000043
78,-75.58141999999998,6.187800000000038
79,-75.58151999999995,6.187880000000064
80,-75.58245999999997,6.188200000000052
81,-75.58279999999996,6.188350000000071
82,-75.58292999999998,6.188650000000052
83,-75.58284999999995,6.188830000000053
84,-75.58270999999996,6.189220000000034
85,-75.58265999999998,6.189420000000041
86,-75.58231999999998,6.1910100000000625
87,-75.58213999999998,6.1918600000000765
88,-75.58203999999995,6.192270000000065
89,-75.58173999999997,6.193230000000028
90,-75.58131999999995,6.19431000000003
91,-75.58115999999995,6.1948300000000245
92,-75.58108999999996,6.195100000000025
93,-75.58105999999998,6.195200000000057
94,-75.58101999999997,6.195290000000057
95,-75.58091999999994,6.195560000000057
96,-75.58077999999995,6.195920000000058
97,-75.58064999999993,6.1962500000000205
98,-75.58042999999998,6.196870000000047
99,-75.58014999999995,6.197290000000066
100,-75.57956782899998,6.199313463000067
